Name of affiliated standard sample;Test mode;Light source/angle;L*;a*;b*;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm
-;M0;D50/2°;62,07;63,42;-18,96;47,98;51,9;53,16;53,41;52,86;51,13;47,66;42,46;35,99;28,87;22,65;18,15;15,05;12,81;11,32;10,65;10,77;14;24,79;43,72;62,97;76,1;82,37;86,14;89,01;91,42;92,16;91,97;90,98;90,06;89,3
-;M0;D50/2°;90,89;-4,53;107,13;5,55;3,41;2,5;2,71;3,09;3,28;2,88;2,22;3,13;8,65;21,33;40,72;63,58;83,86;94,23;93,95;88,95;83,67;81,83;85,33;89,51;90,59;89,52;88,86;88,73;89,03;88,99;88,97;88,84;89,11;89,81
-;M0;D50/2°;44,55;60,5;23,29;6,99;8,01;8,05;7,52;6,87;6,53;6,48;6,38;6,32;6,54;6,66;5,93;4,72;4,21;4,62;4,8;4,37;4,28;6,33;12,48;23,18;38,42;54,63;66,96;74,4;79,65;82,55;84,28;85;85,55;86,02
-;M0;D50/2°;64,06;-31,73;-48,93;42,22;51,69;58,82;66,98;78,34;87,54;90,96;90,46;87,39;82,6;76,82;70,82;63,37;53,8;43,13;32,23;22,22;14,91;11,81;11,4;10,96;10,44;10,3;10,19;10,35;11,29;12,54;13,1;12,62;12;11,32
-;M0;D50/2°;48,58;-19,3;-60,24;21,16;30,45;37,72;46,54;59,56;70,26;74,04;73,46;69,56;62,76;54,25;45,34;36,19;27,49;19,97;13,2;7,45;3,85;3,24;4,2;4,14;3,7;3,97;4,13;4,24;4,89;5,74;5,93;5,26;4,66;4,22
-;M0;D50/2°;66,92;41,6;63,45;4,85;4,72;4,61;4,36;3,87;3,98;4,87;6,22;8,28;11,49;16,03;20,75;24,17;24,93;23,5;21,65;20,62;22,75;32,57;50,82;68,95;81,09;87,46;90,65;91,89;92,4;91,9;91,81;92,12;92,83;93,9
-;M0;D50/2°;50,1;66,93;-2,68;24,03;27,16;27,24;26,06;24,05;21,9;19,75;17,22;14,46;11,91;9,84;7,97;6,38;5,55;5,48;5,32;4,81;5,45;10,09;20,55;35,11;51,44;66,14;77,12;83,9;88,45;90,29;90,68;89,9;88,93;87,9
-;M0;D50/2°;57,87;-51,77;-13,15;17,9;22,66;25,13;26,82;28,59;30,98;34,03;37,94;42,95;48,88;54,58;57,78;56,27;48,87;38,08;27,16;17,67;10,66;7,53;7,57;8,46;9,16;9,6;9,35;8,66;8,2;8,22;8,75;9,47;10,03;10,35
-;M0;D50/2°;61,79;-49,48;51,98;5,8;4,36;3,73;3,82;3,78;3,89;4,22;4,85;7,2;13,48;24,74;38,91;51,61;57,21;53,11;42,27;29,57;18,82;13,74;14,66;17,37;18,34;17,15;16,07;15,63;15,66;16,13;16,68;17,1;17,5;17,86
-;M0;D50/2°;43,91;35,99;-40,04;35,07;39,98;41,59;42,47;43,06;42,38;39,62;35,06;29,17;22,58;16,69;12,47;10,02;9,09;8,89;8,55;7,95;8,22;10,86;15,69;20,25;22,85;23,03;23,21;24,74;27,59;30,7;33,27;35,05;36,68;38,25
-;M0;D50/2°;21,66;-5,3;3,04;2,37;2,66;2,81;2,79;2,69;2,71;2,85;3,04;3,28;3,6;3,96;4,18;4,19;4,04;3,8;3,5;3,24;3,08;2,99;2,97;2,99;3,02;3,13;3,18;3,16;3,12;3,08;3,1;3,14;3,21;3,28
-;M0;D50/2°;25,85;10,76;-36,94;11,17;14,2;15,47;16,56;18;18,8;18,16;16,54;14,17;11,31;8,6;6,53;5,23;4,67;4,43;4,01;3,44;3,11;3,22;3,62;3,91;3,89;3,62;3,55;3,82;4,3;4,75;4,88;4,65;4,41;4,19
-;M0;D50/2°;88,76;13,95;-9,71;63,63;70,16;75,35;80,42;86,55;91,05;92,08;90,3;86,62;81,56;76,15;72;69,08;67,24;66,19;65,34;64,81;66,22;71,4;79,77;86,39;89,01;89,22;88,96;89,07;90;90,43;90,53;90,01;89,62;89,41
